Entity,Code,Day,people_vaccinated_per_hundred,145610-annotations
Africa,,2022-01-03,14.17,
Africa,,2022-01-04,14.35,
Africa,,2022-01-05,14.38,
Africa,,2022-01-06,14.44,
Africa,,2022-01-07,14.47,
Africa,,2022-01-08,14.54,
Africa,,2022-01-09,14.63,
Africa,,2022-01-10,14.9,
Africa,,2022-01-11,14.91,
Africa,,2022-01-12,14.94,
Africa,,2022-01-13,14.97,
Africa,,2022-01-14,15.02,
Africa,,2022-01-15,15.1,
Africa,,2022-01-16,15.15,
Africa,,2022-01-17,15.28,
Africa,,2022-01-18,15.38,
Africa,,2022-01-19,15.44,
Africa,,2022-01-20,15.46,
Africa,,2022-01-21,15.6,
Africa,,2022-01-22,15.65,
Africa,,2022-01-23,15.76,
Africa,,2022-01-24,15.8,
Africa,,2022-01-25,15.8,
Africa,,2022-01-26,15.84,
Africa,,2022-01-27,15.86,
Africa,,2022-01-28,15.92,
Africa,,2022-01-29,15.99,
Africa,,2022-01-30,16.03,
Africa,,2022-01-31,16.06,
Africa,,2022-02-01,16.07,
Africa,,2022-02-02,16.2,
Africa,,2022-02-03,16.21,
Africa,,2022-02-04,16.24,
Africa,,2022-02-05,16.26,
Africa,,2022-02-06,16.34,
Africa,,2022-02-07,16.49,
Africa,,2022-02-08,16.51,
Africa,,2022-02-09,16.57,
Africa,,2022-02-10,16.63,
Africa,,2022-02-11,16.67,
Africa,,2022-02-12,16.68,
Africa,,2022-02-13,16.7,
Africa,,2022-02-14,16.72,
Africa,,2022-02-15,16.91,
Africa,,2022-02-16,16.96,
Africa,,2022-02-17,17.03,
Africa,,2022-02-18,17.14,
Africa,,2022-02-19,17.32,
Africa,,2022-02-20,17.5,
Africa,,2022-02-21,17.85,
Africa,,2022-02-22,17.98,
Africa,,2022-02-23,18.04,
Africa,,2022-02-24,18.15,
Africa,,2022-02-25,18.28,
Africa,,2022-02-26,18.39,
Africa,,2022-02-27,18.57,
Africa,,2022-02-28,18.62,
Africa,,2022-03-01,18.67,
Africa,,2022-03-02,18.73,
Africa,,2022-03-03,18.74,
Africa,,2022-03-04,18.8,
Africa,,2022-03-05,18.95,
Africa,,2022-03-06,19.01,
Africa,,2022-03-07,19.02,
Africa,,2022-03-08,19.1,
Africa,,2022-03-09,19.19,
Africa,,2022-03-10,19.22,
Africa,,2022-03-11,19.25,
Africa,,2022-03-12,19.25,
Africa,,2022-03-13,19.44,
Africa,,2022-03-14,19.45,
Africa,,2022-03-15,19.65,
Africa,,2022-03-16,19.66,
Africa,,2022-03-17,19.7,
Africa,,2022-03-18,19.85,
Africa,,2022-03-19,19.85,
Africa,,2022-03-20,19.93,
Africa,,2022-03-21,19.95,
Africa,,2022-03-22,19.96,
Africa,,2022-03-23,20,
Africa,,2022-03-24,20.08,
Africa,,2022-03-25,20.13,
Africa,,2022-03-26,20.13,
Africa,,2022-03-27,20.28,
Africa,,2022-03-28,20.28,
Africa,,2022-03-29,20.35,
Africa,,2022-03-30,20.36,
Africa,,2022-03-31,20.41,
