"Data Source","World Development Indicators",

"Last Updated Date","2022-05-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Botswana","BWA","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.5809097290039","","","","","","","","","","","","81.1887130737305","","","","","","","","","","86.8231811523438","","","","","","","","",
"Central African Republic","CAF","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","18.2361698150635","","","","","","","","","","","","","33.6244201660156","","","","","","","","","","","","50.6451683044434","","","","","","","","","","36.7526092529297","","","","","","","","37.3958206176758","","","",
"Canada","CAN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central Europe and the Baltics","CEB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","98.0038833618164","98.0235137939453","98.0558166503906","98.0839309692383","98.1059494018555","98.1389465332031","98.0351104736328","98.0912017822266","98.1503524780273","98.1967086791992","98.2469482421875","98.288459777832","98.3341979980469","98.3798217773438","98.4195098876953","98.4586791992188","98.5430068969727","98.4732284545898","98.5088500976563","98.5358123779297","98.5658416748047","98.5824432373047","98.6052322387695","98.6279678344727","98.635627746582","98.6540603637695","98.6918487548828","98.8988265991211","98.9172210693359","98.9342498779297","98.9453887939453","98.9543380737305","98.9662933349609","98.9777297973633","98.9910278320313","","","","","",
"Switzerland","CHE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Channel Islands","CHI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","91.1284027099609","","","","","","","","","","94.2911376953125","","","","","","","","","","95.7166213989258","","","","","","97.7224502563477","97.6642303466797","","96.703010559082","","96.2670593261719","","96.8741302490234","","96.4022827148438","","","","",
"China","CHN","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","65.5050888061523","","","","","","","","77.7850570678711","","","","","","","","","","90.9202117919922","","","","","","","","","","95.1244812011719","","","","","","","","96.8408889770508","","","",
"Cote d'Ivoire","CIV","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34.1392784118652","","","","","","","","","","36.3502388000488","","48.7407608032227","","","","","","","","","","","","40.9816284179688","","43.9084205627441","","","","","89.8934173583984","","",
"Cameroon","CMR","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","41.2162094116211","","","","","","","","","","","","","","","","","","","","","","","","68.4091567993164","","","","","","","70.6799392700195","","","71.2905120849609","","","","","","","","77.0710372924805","","","",
"Congo, Dem. Rep.","COD","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","67.1729888916016","","","","","","61.2055511474609","","","","","75.0171890258789","","","","77.0426788330078","","","","","",
"Congo, Rep.","COG","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","59.6191215515137","","","","","","","","","","","","","","","","","","","","","76.1147918701172","","","","","","79.3111724853516","","","","","","","80.2987594604492","","","",
"Colombia","COL","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.0630874633789","","","91.207160949707","","","","","","","","92.8037796020508","92.8486633300781","92.2996826171875","92.6517868041992","93.3781814575195","93.2446899414063","93.3723297119141","93.5805282592773","","","94.1862487792969","94.2450485229492","94.6538467407227","","95.0925064086914","95.249267578125","95.6363296508789","",
"Comoros","COM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","47.9192314147949","","","","","","","","","","","","","","","","","","","","68.4892272949219","","","","","","","","","","","","49.1961402893066","","","","","","58.8170204162598","","","",
"Cabo Verde","CPV","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62.7968597412109","","","","","","","","","","76.1104431152344","","","","","","","","","","","","85.3277893066406","","","86.7902908325195","","","","","","",
"Costa Rica","CRI","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","92.6290435791016","","","","","","","","","","","","","","","","94.8681869506836","","","","","","","","","","","97.4065780639648","","","","","","","97.8637924194336","","","",
"Caribbean small states","CSS","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86.2455825805664","86.2917633056641","86.5570983886719","86.8033981323242","87.0503082275391","87.4176406860352","87.0992813110352","87.9216079711914","88.2242889404297","88.510871887207","88.7854690551758","89.0601577758789","89.3650894165039","89.5564117431641","90.1571273803711","90.4194717407227","90.6442718505859","90.8884582519531","91.0886917114258","91.107292175293","91.1765213012695","91.349479675293","91.4435577392578","","","","","","",
"Cuba","CUB","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","97.8466491699219","","","","","","","","","","","","","","","","","","","","","99.799072265625","","","","","","","","","","99.7525329589844","","","","","","","","","",
"Curacao","CUW","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.8678207397461","","","","","","","","","","","","","","",
"Cyprus","CYP","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.3624725341797","","","","","","","","","96.8036270141602","","","","","","","","","","98.6784286499023","","","","","","","","","","",
"Czech Republic","CZE","Literacy rate, adult total (% of people ages 15 and above)","SE.ADT.LITR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
