"iso","Days_Until_All_Vulnerable_Vacc_Elig","Percent_One_Dose_As_Of_Nov_1","Days_Until_Masks_Recommended","Days_Until_Masks_Required","Total_Days_Masks_Required_Public","Total_Days_Masks_At_Least_Recommended","Days_Until_Workplace_Closures_Except_Key","Total_Days_Workplace_Closures_Except_Key","Total_Days_Workplace_Closures_Recommended","Total_Days_Stay_At_Home_Required_Except_Essentials","Total_Days_Comprehensive_Contact_Tracing","Avg_Gov_Stringency_Index","Days_Until_Testing_Key_Groups","Total_Days_Open_Public_Testing","Total_Days_Over_1_Test_Per_Thousand","Obese_Adult_Percentage","Hospital_Beds_Per_1000","Nurses_And_Midwives_Per_1000","Percent_Using_Internet","Population","People_Per_Sq_Km_of_Land","Percent_Ppl_Poor_Air_Quality","GDP_Per_Capita","Health_Expenditure_Per_Capita","Percent_Health_Expenditure_Private","Age_65_Older_Percent","Ages_15_To_64_Percent","Ages_0_To_14_Percent","Govt_Swiftness_Stringency","Govt_Persistent_Stringency","Region.Name","Sub.region.Name","excess_death"
"TCD",147,0.99,112,64,543,543,99.5,56,295,329,328,48.3598141891891,133,48,0,4.8,0.102826551131708,0.1377,10.4,16425859,13.0446783672173,100,659.270044977801,29.85083008,62.25108337,2.49857785258663,51.0111248942521,46.4902972531612,-0.816541866409895,-0.556520324600354,"Africa","Sub-Saharan Africa",18361
"TGO",92,10.96,75.5,88,513,560,156.5,0,446,95,388,51.2713838550247,93.5,42,0,7.1,0.7,0.4643,24,8278737,152.210645339217,100,914.950792453212,51.1550293,75.80754852,2.90502497727911,56.4586402445594,40.6363347781615,-0.606000744606903,-0.587089251722087,"Africa","Sub-Saharan Africa",-6141
"THA",162,60.4,50.5,20,473,573,88,56,594,118,304,51.1711094452773,82,32,2,10.8,2.1,3.1522,77.84374066,69799978,136.624279199045,100,7186.87409206525,296.1651001,28.22714996,12.957737608456,70.4897672030785,16.5524951884655,0.751692438946274,-0.0405130457717621,"Asia","South-eastern Asia",9182
"TJK",62.5,27.47,18,93,503,595,156.5,0,253,3,0,39.7540801457194,41,0,0,12.6,4.67,4.7534,21.96,9537642,68.7199510051156,100,859.137961121368,61.87225342,71.36382294,3.17975768651486,59.5501824611841,37.2700598523011,0.537552294430639,-1.72631267274258,"Asia","Central Asia",12811
"TKM",95.5,0.53,145,128,395,476,115,222,481,28,0,60.8973577235773,3,209,0,17.5,4.03,4.4273,21.25099741,6031187,12.8342242461643,100,7612.03518009452,500.00643921,81.90744781,4.7680229473405,64.4401943228545,30.791782729805,-0.674370163877763,-0.67248961550692,"Asia","Central Asia",626
"TLS",99.5,40.41,79,137,365,559,128,140,297,265,420,50.8007640067912,104,32,1,2.9,5.9,1.7555,29.1,1318442,88.6645595158036,100,1442.73073825015,92.67004395,13.05520725,4.28307589622624,58.8849743447774,36.8319497589964,-1.0053554128501,-0.580583502651244,"Asia","South-eastern Asia",675
"TON",147,47.82,171,163,0,97,73,14,65,580,0,43.6854871794874,87.5,97,0,45.9,2.6,4.3349,41.24872764,105697,146.801388888889,99.8125919313455,4624.82344882844,242.37277222,13.68886662,5.91986375892899,59.3150101707744,34.7651260702966,-1.86318450031019,-4.41440743584584,"Oceania","Polynesia",-35
"TTO",133.5,46.89,49,16.5,574,574,78.5,136,598,224,598,74.1561139028477,87.5,0,70,19.7,3.02,4.2639,70.6,1399491,272.805263157895,100,15425.6351094785,1167.93310547,53.95791626,11.5146396396396,68.4231661864911,20.0621941738693,0.98655145116549,0.990018140524867,"Americas","Latin America and the Caribbean",1699
"TUN",54,46.89,160,115.5,441,441,49.5,81,476,408,168,60.5040856672158,82,118,47,27.3,2.18,2.5136,71.9,11818618,76.0724639546859,100,3521.59194808639,233.05931091,42.49828339,8.87294869222876,66.8363706453351,24.2906806624361,-0.539144508913656,-0.485526817124868,"Africa","Northern Africa",23290
"TUR",62.5,65.13,133,89.5,512,512,134,21,593,290,477,64.1245333333337,5,0,435,32.2,2.85,3.0027,77.67,84339067,109.583913049128,100,8536.43331960632,396.46682739,22.08143234,8.98106567861368,67.0768767219111,23.9420575994752,-0.17912994627661,0.501213915283235,"Asia","Western Asia",248937
"TZA",158,0.57,75.5,169.5,0,432,156.5,0,20,0,0,20.5753613445378,169,153,0,7.1,0.7,0.5843,22,59734213,67.4353273876722,100,1076.46970642052,40.34330368,22.97167206,2.64358863792274,53.8019833121445,43.5544280499328,-2.37677978966996,-3.97190456170631,"Africa","Sub-Saharan Africa",38170
"UGA",133.5,6.06,110.5,63,457,544,56.5,42,586,560,44,68.112983050848,50.5,191,0,4.1,0.5,1.2382,19.9,45741000,228.111909036505,100,822.027681531666,32.40844345,42.86341858,1.9856996152271,51.9984179622456,46.0158824225273,0.341949743853776,0.392596927141136,"Africa","Sub-Saharan Africa",19470
"UKR",140.5,23.57,43.5,12.5,449,576,130,49,594,0,390,60.7029769736844,43,194,55,26.1,7.46,6.661,75.03790912,44134693,76.1730980324474,100,3724.93843689756,248.13348389,54.529953,16.9491433186105,67.0603388750321,15.9905178063575,0.936331568941134,0.106811107471974,"Europe","Eastern Europe",185057
"URY",58,78.19,126,169.5,0,522,129,16,596,11,103,56.886070234114,114,475,354,28.9,2.43,7.2173,86.1,3473727,19.8476002742544,22.3857446597034,15438.4116657291,1660.95288086,33.39944839,15.0876723291678,64.5772987537892,20.3350289170431,-1.73911295829795,-0.757539255838435,"Americas","Latin America and the Caribbean",2720
"USA",81.5,66.81,12,16.5,574,601,29.5,104,592,248,0,59.5597996918331,75,597,539,37.3,2.87,15.685,90.9,331501080,36.2398446775156,3.34317037021352,63206.5210767941,10921.01269531,49.15672684,16.6309257142475,64.9973268643096,18.3717474214429,2.19834458813996,1.680459176274,"Americas","Northern America",877392
"UZB",88,39.78,24.5,4,476,586,44,48,349,141,295,53.6239261744967,28.5,20,0,15.3,3.98,11.2804,71.1,34232050,77.7021030291337,100,1750.69711321291,98.57316589,58.36039734,4.78885619116774,66.4110973900394,28.8000464187928,2.40093547760999,-0.753574655794168,"Asia","Central Asia",42269
"VEN",169,34.58,22,3,591,591,9,439,595,582,0,84.935494137353,48.5,542,0,25.2,0.87,2.0663,61.6,28435943,32.2384706082422,99.9336624316864,16055.6453173826,338.82537842,53.91928101,7.97269933752849,64.7646253297763,27.2626753326952,2.20580087856181,2.75097334702941,"Americas","Latin America and the Caribbean",21549
"VNM",106.5,58.4,18,141.5,349,595,64,139,586,375,435,64.9663734567901,24,469,41,2.1,2.6,1.4463,70.3,97338583,313.924542845164,100,2785.72416087603,180.71818542,55.23139954,7.86601168689755,68.9399513424169,23.1940369706856,0.81895983362315,1.35008040740991,"Asia","South-eastern Asia",-19873
"VUT",142,20.98,172,164.5,0,6,139,0,155,0,355,22.8611235955057,149.5,0,0,23.5,0.252535243986072,1.4205,25.71978784,307150,25.1968826907301,99.9999999872286,2870.08930028914,104.2496109,11.6769371,3.60871900893715,57.9810838529033,38.4101971381595,-2.97835935245766,-5.28193470571562,"Oceania","Melanesia",-77
"YEM",114,1.07,164,169.5,0,384,156.5,0,403,408,0,35.1218596491227,171,0,0,14.1,0.71,0.7852,26.71835477,29825968,56.4917855181166,100,758.145241569423,73.17674255,82.03360748,2.93098321985502,58.2367865796391,38.8322302005058,-3.1421863506254,-2.55990766458215,"Asia","Western Asia",32549
"ZAF",145,25.53,32,58.5,549,579,60,36,577,544,604,56.696619273302,121.5,454,25,27,2.3,1.3078,70,59308690,48.8905934431905,100,5655.86765390396,546.68841553,40.13647079,5.50943883602892,65.6894360674633,28.8011250965078,0.58009521862784,1.7568651970835,"Africa","Sub-Saharan Africa",225187
"ZMB",67,1.64,65.5,36.5,557,564,105,6,406,23,311,44.7400168634066,128.5,200,0,6.5,2,1.0227,19.8,18383956,24.7298941336311,100,985.132436038869,69.32437897,16.21423721,2.1320221900021,53.8505887334907,44.0173890765072,0.348294273997705,-0.551884271172082,"Africa","Sub-Saharan Africa",22535
"ZWE",43,21.97,106.5,61,519,546,78.5,123,581,496,0,69.3378849407782,163,223,0,12.3,1.7,1.9346,29.3,14862927,38.4203877471888,100,1214.50982023534,103.02827223,52.81442505,3.01417809846838,55.0747215016372,41.9111003998944,-0.266675834029769,0.67259517903457,"Africa","Sub-Saharan Africa",17036
