"iso","Days_Until_All_Vulnerable_Vacc_Elig","Percent_One_Dose_As_Of_Nov_1","Days_Until_Masks_Recommended","Days_Until_Masks_Required","Total_Days_Masks_Required_Public","Total_Days_Masks_At_Least_Recommended","Days_Until_Workplace_Closures_Except_Key","Total_Days_Workplace_Closures_Except_Key","Total_Days_Workplace_Closures_Recommended","Total_Days_Stay_At_Home_Required_Except_Essentials","Total_Days_Comprehensive_Contact_Tracing","Avg_Gov_Stringency_Index","Days_Until_Testing_Key_Groups","Total_Days_Open_Public_Testing","Total_Days_Over_1_Test_Per_Thousand","Obese_Adult_Percentage","Hospital_Beds_Per_1000","Nurses_And_Midwives_Per_1000","Percent_Using_Internet","Population","People_Per_Sq_Km_of_Land","Percent_Ppl_Poor_Air_Quality","GDP_Per_Capita","Health_Expenditure_Per_Capita","Percent_Health_Expenditure_Private","Age_65_Older_Percent","Ages_15_To_64_Percent","Ages_0_To_14_Percent","Govt_Swiftness_Stringency","Govt_Persistent_Stringency","Region.Name","Sub.region.Name","excess_death"
"BOL",154,38.55,101,84,518,549,49.5,96,404,371,41,58.205233333333,160.5,146,19,18.7,1.29,1.5589,59.94010155,11673029,10.7754352441614,99.9991320215104,3133.09980321504,245.92347717,27.63630486,7.48720489751539,62.3098424992125,30.2029526032721,-0.695740634415531,-0.212679597924816,"Americas","Latin America and the Caribbean",78460
"BRA",15,74.58,11,31,569,609,16,369,598,531,306,64.6948697068407,11.5,61,91,22.3,2.09,7.4008,81.34269353,212559409,25.4314248146119,68.1350300575805,6796.84454227877,853.38793945,59.11333466,9.59227461561959,69.6985262243169,20.7091991600636,3.02347329751025,2.19028911737871,"Americas","Latin America and the Caribbean",669508
"BRB",30,51.8,61,149,271,569,69,73,583,368,563,59.1079629629625,21.5,207,0,24.8,5.97,3.06,81.76077839,287371,668.304651162791,100,15373.8547035017,1143.32202148,54.27687836,16.7022183558069,66.5374510656807,16.7603305785124,0.620600792112523,0.544239501098573,"Americas","Latin America and the Caribbean",-381
"BRN",126,79.88,6,158,86,629,136,84,441,84,378,46.5794518272426,100,444,0,14.7,2.85,5.8974,95,437483,83.0138519924099,0,27442.95382794,671.56268311,5.68010855,5.5700959360335,72.1058610813319,22.3240429826346,-0.597237400405472,-0.292373095821435,"Asia","South-eastern Asia",-97
"BTN",46,75.43,13.5,114,444,600,114,126,584,281,605,68.9264462809916,48.5,244,457,5.8,1.74,1.8294,53.5,771612,20.2310435238595,100,3000.77932702976,115.98075867,19.4673481,6.20470497973064,68.9007890016693,24.8945060186001,0.784257655868127,1.61416485732393,"Asia","Southern Asia",-396
"BWA",135,28.21,101,58.5,484,549,87,39,551,352,413,59.0735628227197,152.5,153,364,16.1,1.8,2.8515,64,2351625,4.14946270710921,100,6404.89993159074,481.53305054,15.32737446,4.51219517380945,62.0840805110675,33.4037243151231,-0.623632481891325,0.734793108383686,"Africa","Sub-Saharan Africa",7231
"CAF",166,6.7,132,119,263,428,156.5,0,213,161,91,32.8651174496645,164,0,0,6.3,1,0.2063,10.4,4829764,7.75267905871778,100,492.79587119399,37.19958115,61.30540466,2.79812670052199,53.660145510125,43.541727789353,-2.47149672247076,-2.71769079212906,"Africa","Sub-Saharan Africa",6076
"CAN",17,78.42,75.5,108,457,560,22.5,364,593,320,97,65.0509567901235,18,0,506,31.3,2.52,11.812,96.97,38037204,4.24257678524224,0,43258.2638715601,5048.37255859,29.83252716,18.1043615051754,66.1203862397467,15.775252255078,1.40679621565071,1.4141510750683,"Americas","Northern America",20718
"CHE",108,65.87,97,124,256,550,16,60,594,0,539,50.9408617886176,60.5,326,441,21.2,4.63,17.8949,94.2,8636561,218.558417938239,49.3001362303515,87100.4148213751,9666.33789063,67.89052582,19.0975411751085,65.94382747161,14.9586313532815,0.280577235172553,0.383686491998741,"Europe","Western Europe",8050
"CHL",39,85.89,54.5,145.5,196,572,9,540,595,555,581,73.5882982171795,149.5,293,460,28.8,2.06,13.3248,88.3,19116209,25.710001721513,97.6630177077565,13231.7042069381,1375.80297852,49.08281326,12.2426574192226,68.5186141325884,19.2387284481891,0.203650421680977,2.90324584156459,"Americas","Latin America and the Caribbean",36662
"CHN",67,76.22,1,1,205,670,1,356,645,526,666,71.7588597842838,1,580,488,6.6,4.31,2.6621,70.40477542,1410929362,149.705447160568,99.9982944622564,10434.7751874839,535.13336182,44.02029037,11.9682712029347,70.3199134118938,17.7118153851715,3.41111383375209,3.42426241125695,"Asia","Eastern Asia",-92209
"CIV",43,8.55,59,28.5,571,571,156.5,0,134,0,284,34.0619166666667,121.5,68,0,9,0.274917337516357,0.6556,36.28895457,26378275,82.9505503144654,100,2325.72370502247,75.08779144,55.6829567,2.88256919311703,55.6089568256058,41.5084739812772,0.197853178145739,-1.62679426909437,"Africa","Sub-Saharan Africa",24428
"CMR",161,1.53,62,32,567,567,156.5,0,163,0,0,41.3269917355372,158.5,70,0,9.5,1.3,0.5267,37.8,26545864,56.1567641894608,100,1537.13021832773,53.99584961,82.43981934,2.7161558092875,55.2199112908855,42.063932899827,-0.745797036245852,-1.89801945438659,"Africa","Sub-Saharan Africa",33905
"COD",172,0.12,32,44,560,579,156.5,0,442,369,0,46.1764999999997,104,0,0,5.6,0.286843474452565,1.1101,13.6,89561404,39.5057030061093,100,543.950392515803,20.57073212,45.35538864,3.0186708888426,51.1861398598233,45.7951892513341,-0.155081696588946,-0.489556475570517,"Africa","Sub-Saharan Africa",113672
"COG",114,5.12,97,55.5,550,550,69,121,514,583,7,54.247013422819,133,20,0,8.4,0.177654302867972,0.9311,8.65,5518092,16.1583953147877,100,1846.13129708695,48.55877304,54.056633,2.76275093161815,55.9669863849555,41.2702626834263,-0.122210642796542,0.380473419377132,"Africa","Sub-Saharan Africa",4326
"COL",123.5,58.85,43.5,20,357,576,56.5,231,616,458,515,69.4843966942155,33.5,14,189,22.1,1.71,1.18357320910727,69.79,50882884,45.8610941865705,92.1046289822956,5334.55604233917,495.32971191,28.11552811,9.06056222316456,68.7558672717712,22.1835705050643,1.7000648094663,1.35574627515851,"Americas","Latin America and the Caribbean",161164
"COM",173,27.65,124,111.5,67,144,156.5,0,0,0,0,1.60699193997674,173,0,0,6.9,2.16,0.6285,8.478170295,869595,467.272971520688,100,1420.66174747221,72.32379913,66.36086273,3.10579219665111,57.8743584701489,39.0198493331999,-2.41423561203706,-5.42744242057529,"Africa","Sub-Saharan Africa",672
"CPV",76,52.26,87,76.5,523,554,69,142,583,117,323,64.1585279187813,121.5,517,2,10.6,2.1,1.2983,64.5,555988,137.962282878412,100,3064.27238842819,177.89027405,27.39300728,4.78572340720197,67.1326847570177,28.0815918357803,0.0492177496520323,0.994626967600308,"Africa","Sub-Saharan Africa",903
"CRI",8,70,138,138,364,497,99.5,39,601,0,169,61.3441983471073,10,166,168,25.7,1.1,3.4144,80.53018608,5094114,99.7672150411281,99.6887933668832,12140.8541545754,921.58575439,27.46307182,10.2530997515173,68.9188785968444,20.8280216516382,-0.187150608732849,-0.63064902977456,"Americas","Latin America and the Caribbean",9484
"CUB",132,87.83,32,8.5,579,579,103,241,573,337,545,73.4343572621036,104,129,194,26.7,5.33,7.5614,74,11326616,109.119614643545,99.9999999999811,9477.85287326771,1031.92175293,10.5857048,15.8934142377564,68.1858641627826,15.920721599461,0.900729607748441,1.73679547182753,"Americas","Latin America and the Caribbean",18113
"CYP",18,67.56,135,107,389,506,101.5,215,526,288,564,65.4967827529025,145.5,569,570,22.6,3.4,4.0345,90.80194723,1207361,130.666774891775,100,27527.8453055825,1996.45825195,43.29400635,14.4088046720155,69.0140215130711,16.5771738149134,-0.999547036830795,1.76742769961985,"Asia","Western Asia",1039
"CZE",58,58.27,20,2,335,593,3.5,37,598,168,610,54.2857704918031,100,320,419,28.5,6.62,8.4246,81.33889705,10697858,138.57329015544,99.6772126159304,22933.4995909236,1844.21777344,18.5015831,20.1429902620987,64.1014583927266,15.7555513451747,2.41353283750762,1.00654967514753,"Europe","Eastern Europe",33585
"DEU",36,69.91,32,169.5,0,579,119,75,589,229,423,61.7874378881988,24,422,451,25.7,8,13.4858,89.81294133,83160871,238.024131318335,89.1743564300489,46252.6893044892,5440.25146484,22.27397156,21.6874493682811,64.3569551788337,13.9555954528852,0.212889073321373,0.42793354691797,"Europe","Western Europe",173352
"DJI",95.5,3.85,116,67,387,540,52.5,55,589,55,404,49.6222596964587,128.5,97,0,12.2,1.4,0.7288,59,988002,42.6230371009491,100,3425.48417585803,61.80943298,25.57739258,4.70647773279352,66.3812753036437,28.9122469635628,-0.167827211156707,-0.270105087114115,"Africa","Sub-Saharan Africa",1718
"DMA",29,38.51,65.5,36.5,325,564,85,123,189,146,582,45.0696264855689,141.5,545,0,28.2,3.8,6.0979,69.61966879,71991,95.988,100,7003.85902147233,440.16986084,34.82003021,2.29172990165577,9.99735053227937,2.76116650015033,0.613775303333036,-0.247714516900284,"Americas","Latin America and the Caribbean",-1
"DNK",9,76.56,143,157,59,480,122,47,600,0,93,50.3746551724138,108.5,538,558,21.3,2.6,10.5515,96.54914573,5831404,145.7851,56.9144561104444,61063.3164304238,6003.32519531,16.71035385,20.1639894465007,63.554275213468,16.2817353400313,-1.44736463907721,-0.449034453202656,"Europe","Northern Europe",2955
"DOM",125,61.42,101,58.5,549,549,29.5,62,592,519,0,70.200213114754,141.5,166,0,26.9,1.56,1.4594,76.9,10847904,224.547795487477,99.9134426224712,7268.1969096591,491.05935669,54.26577377,7.52769888393248,65.0329602660789,27.4393408499886,0.0469462480760619,0.528351889136042,"Americas","Latin America and the Caribbean",11436
"DZA",20,14.26,81.5,48.5,527,527,78.5,25,588,576,491,66.2937398373984,141.5,0,0,26.6,1.9,1.5477,62.9,43851043,18.4113398560129,100,3306.85820838104,248.20587158,34.95557785,6.74292726075119,62.4735570719822,30.7835156672667,0.420278493375377,0.672844107430937,"Africa","Northern Africa",68542
"ECU",88,70.61,18,16.5,543,595,16,122,594,245,174,67.0155409836063,133,164,0,19.3,1.39,2.5059,64.6,17643060,71.0382509260751,98.3156239365569,5600.38961495341,486.49215698,38.12518692,7.59109505644544,65.0169806202486,27.3919243233059,1.75704581667761,0.677883518374715,"Americas","Latin America and the Caribbean",79514
"EGY",47.5,17.2,87,81,378,554,108,5,589,74,402,55.6352396166134,53.5,0,0,31.1,1.43,1.9262,71.91420097,102334403,102.802152795218,100,3569.20684121108,149.84031677,71.15663147,5.33168102488778,60.7472927677382,33.921026207374,0.330860390599016,-0.512014203829993,"Africa","Northern Africa",243149
"ESP",131,81.37,106.5,73.5,432,546,78.5,53,602,386,24,59.8308137715179,14,102,460,27.1,2.97,6.0795,93.20564892,47363419,94.8020199835318,41.115549425172,27056.4217512166,2711.19287109,29.38047409,19.9776116999208,65.6229209344123,14.3994673656669,0.38126772374476,0.427161965341176,"Europe","Southern Europe",102550
"EST",51,60.03,113.5,164.5,0,542,64,98,479,56,103,39.6953532182105,111.5,35,461,23.8,4.57,6.6316,89.05828666,1329479,30.5838279273062,0,23054.3584905978,1598.81884766,25.56273651,20.3732279962459,63.1286019592397,16.4981700445145,-0.894914451670592,-1.25546353188504,"Europe","Northern Europe",3077
"ETH",72.5,2.98,54.5,24,572,572,156.5,0,586,0,112,56.6471906354513,53.5,223,0,3.6,0.33,0.7135,24,114963583,101.800711323583,100,936.340461064749,26.74220467,43.19190979,3.53689378588288,56.5454698578127,39.9176363563044,0.699485107268641,-0.188134199537954,"Africa","Sub-Saharan Africa",100265
"FIN",39,76.29,157,169.5,0,445,156.5,0,599,0,93,43.5131775700934,67.5,0,453,24.9,3.61,14.8773,92.17,5529543,18.194074098447,0,48755.3550062906,4450.30273438,19.82653046,22.5544875034292,61.5803902741882,15.8651222223827,-1.8625862299152,-1.81324853875041,"Europe","Northern Europe",2581
"FJI",95.5,69.16,137,160,0,498,29.5,146,592,592,564,60.0520748829952,108.5,354,162,30,2,3.9596,68.9,896444,49.0664477285167,82.8031823467088,5057.63191261761,235.67501831,27.40017128,5.81742326634651,65.1713155854514,29.0112611482021,-0.97770489266469,0.699757593744137,"Oceania","Melanesia",-76
"FRA",25,76.84,3,99,408,649,16,133,594,301,0,60.3104945904174,18,464,468,23.2,5.91,11.4707,84.8,67379908,123.055513855179,78.2135639205549,39037.1226309074,4491.73535156,24.68828201,20.7534554101127,61.5928887293959,17.6536558604914,2.31012350118303,1.47754839221782,"Europe","Western Europe",76358
