"V1","Trust_Covid_Advice_Govt","Trust_In_Neighborhood","Vaccines_Safe_50Plus","Confidence_In_Hospitals","Trust_In_Govt","Trust_In_Journalists","iso3c"
"Tunisia",0.494071368098219,0.721641871344064,0.813308091398634,0.552243265933495,0.424159686655155,0.448488168266373,"TUN"
"Turkey",0.658858719511137,0.761995410808697,0.869197084294378,0.722552968656458,0.565824679024246,0.442200035912387,"TUR"
"Uganda",0.831162940798662,0.769017143733965,0.88389945832679,0.54168025811976,0.554874685639943,0.696898076544852,"UGA"
"Ukraine",0.505366859795583,0.786348626717532,0.282260138329536,0.551828765957596,0.109489718234219,0.475063474334057,"UKR"
"United Kingdom",0.711232397302385,0.879926584326984,0.764377909698071,0.82467864318496,0.51022832543377,0.465358564819213,"GBR"
"United States",0.589487330617488,0.779825421542449,0.713853991983096,0.763981673593646,0.474266510149722,0.563621722513212,"USA"
"Uruguay",0.860051034173826,0.770131943814555,0.762161992528971,0.760623822243864,0.445122988266261,0.561932567078473,"URY"
"Uzbekistan",0.864543455247648,0.953986440661684,0.926901040547814,0.892623184044608,0.992193762274395,0.866894817903779,"UZB"
"Venezuela",0.568589806311029,0.594256169901217,0.939330381706193,0.470085512539458,0.357042704107729,0.536405933089161,"VEN"
"Zambia",0.753220785935776,0.665084410961253,0.75909285188835,0.8106661271144,0.567030031323391,0.636081641642825,"ZMB"
"Zimbabwe",0.809024302331335,0.615565179799266,0.824337886624177,0.780165491337462,0.52910582644558,0.463653746155675,"ZWE"
