"iso","Days_Until_All_Vulnerable_Vacc_Elig","Percent_One_Dose_As_Of_Nov_1","Days_Until_Masks_Recommended","Days_Until_Masks_Required","Total_Days_Masks_Required_Public","Total_Days_Masks_At_Least_Recommended","Days_Until_Workplace_Closures_Except_Key","Total_Days_Workplace_Closures_Except_Key","Total_Days_Workplace_Closures_Recommended","Total_Days_Stay_At_Home_Required_Except_Essentials","Total_Days_Comprehensive_Contact_Tracing","Avg_Gov_Stringency_Index","Days_Until_Testing_Key_Groups","Total_Days_Open_Public_Testing","Total_Days_Over_1_Test_Per_Thousand","Obese_Adult_Percentage","Hospital_Beds_Per_1000","Nurses_And_Midwives_Per_1000","Percent_Using_Internet","Population","People_Per_Sq_Km_of_Land","Percent_Ppl_Poor_Air_Quality","GDP_Per_Capita","Health_Expenditure_Per_Capita","Percent_Health_Expenditure_Private","Age_65_Older_Percent","Ages_15_To_64_Percent","Ages_0_To_14_Percent","Govt_Swiftness_Stringency","Govt_Persistent_Stringency","Region.Name","Sub.region.Name","excess_death","V1","Trust_Covid_Advice_Govt","Trust_In_Neighborhood","Vaccines_Safe_50Plus","Confidence_In_Hospitals","Trust_In_Govt","Trust_In_Journalists"
"DOM",125,61.42,101,58.5,549,549,29.5,62,592,519,0,70.200213114754,141.5,166,0,26.9,1.56,1.4594,76.9,10847904,224.547795487477,99.9134426224712,7268.1969096591,491.05935669,54.26577377,7.52769888393248,65.0329602660789,27.4393408499886,0.0469462480760619,0.528351889136042,"Americas","Latin America and the Caribbean",11436,"Dominican Republic",0.814074335019432,0.700064523759875,0.922243159196794,0.633994429059892,0.549762998819893,0.660415887302277
"DZA",20,14.26,81.5,48.5,527,527,78.5,25,588,576,491,66.2937398373984,141.5,0,0,26.6,1.9,1.5477,62.9,43851043,18.4113398560129,100,3306.85820838104,248.20587158,34.95557785,6.74292726075119,62.4735570719822,30.7835156672667,0.420278493375377,0.672844107430937,"Africa","Northern Africa",68542,"Algeria",0.744289117751172,0.653352275384414,0.651149603284311,0.432585449849581,0.380593098008246,0.410765231287201
"ECU",88,70.61,18,16.5,543,595,16,122,594,245,174,67.0155409836063,133,164,0,19.3,1.39,2.5059,64.6,17643060,71.0382509260751,98.3156239365569,5600.38961495341,486.49215698,38.12518692,7.59109505644544,65.0169806202486,27.3919243233059,1.75704581667761,0.677883518374715,"Americas","Latin America and the Caribbean",79514,"Ecuador",0.502764115813935,0.590938084858165,0.857812147498127,0.624819478511398,0.493832113101741,0.535800122119648
"ESP",131,81.37,106.5,73.5,432,546,78.5,53,602,386,24,59.8308137715179,14,102,460,27.1,2.97,6.0795,93.20564892,47363419,94.8020199835318,41.115549425172,27056.4217512166,2711.19287109,29.38047409,19.9776116999208,65.6229209344123,14.3994673656669,0.38126772374476,0.427161965341176,"Europe","Southern Europe",102550,"Spain",0.616825838714286,0.833666213277567,0.834734905517275,0.867302021571199,0.627098997155072,0.58981815527691
"EST",51,60.03,113.5,164.5,0,542,64,98,479,56,103,39.6953532182105,111.5,35,461,23.8,4.57,6.6316,89.05828666,1329479,30.5838279273062,0,23054.3584905978,1598.81884766,25.56273651,20.3732279962459,63.1286019592397,16.4981700445145,-0.894914451670592,-1.25546353188504,"Europe","Northern Europe",3077,"Estonia",0.846359500203578,0.81089797708777,0.497848940319457,0.780315155148206,0.525099443061709,0.499450426355717
"ETH",72.5,2.98,54.5,24,572,572,156.5,0,586,0,112,56.6471906354513,53.5,223,0,3.6,0.33,0.7135,24,114963583,101.800711323583,100,936.340461064749,26.74220467,43.19190979,3.53689378588288,56.5454698578127,39.9176363563044,0.699485107268641,-0.188134199537954,"Africa","Sub-Saharan Africa",100265,"Ethiopia",0.915878465191394,0.880593170134326,0.968345787238278,0.821014908725165,0.650617366343123,0.542348455169351
"FIN",39,76.29,157,169.5,0,445,156.5,0,599,0,93,43.5131775700934,67.5,0,453,24.9,3.61,14.8773,92.17,5529543,18.194074098447,0,48755.3550062906,4450.30273438,19.82653046,22.5544875034292,61.5803902741882,15.8651222223827,-1.8625862299152,-1.81324853875041,"Europe","Northern Europe",2581,"Finland",0.927448888639145,0.917323470741231,0.768123074061016,0.889074559035225,0.923412979383829,0.806009646512362
"FRA",25,76.84,3,99,408,649,16,133,594,301,0,60.3104945904174,18,464,468,23.2,5.91,11.4707,84.8,67379908,123.055513855179,78.2135639205549,39037.1226309074,4491.73535156,24.68828201,20.7534554101127,61.5928887293959,17.6536558604914,2.31012350118303,1.47754839221782,"Europe","Western Europe",76358,"France",0.734230382781634,0.848543251568319,0.479941605763375,0.857325820272729,0.614529399679855,0.466323682386266
"GAB",167,5.53,139.5,94,488,488,97.5,15,536,590,351,70.0643383584588,111.5,514,87,13.4,6.3,2.946,62,2225728,8.63790119144642,100,6881.71519231831,215.01914978,39.1208992,3.52881341615845,59.2072997042773,37.2638868795642,-1.32951766439976,0.95386381251287,"Africa","Sub-Saharan Africa",1527,"Gabon",0.620143020772614,0.308702164997583,0.646977436406951,0.556731756284891,0.458809232686919,0.298993748946744
"GBR",1,73.29,93.5,115.5,441,552,44,187,595,180,131,61.4300312500002,8,0,545,29.5,2.46,10.2922,94.81820132,67215293,277.829508535527,66.5332490328298,41059.1688090547,4312.88916016,20.51708603,18.6533467108562,63.6693780696586,17.6772752194852,1.0934021786126,0.607021751927149,"Europe","Northern Europe",146571,"United Kingdom",0.711232397302385,0.879926584326984,0.764377909698071,0.82467864318496,0.51022832543377,0.465358564819213
